Utterance,makes_needs_explicit,makes_emotions_explicit,makes_values_explicit,makes_consequences_explicit,makes_conflict_explicit,makes_strengths_resources_explicit,evokes_concrete_elaboration,evokes_perspective_elaboration,emotions_check_in,problem_solving,planning,normalizing,teaching_psychoeducation,Turn,ConvID
"That sounds smart. When you think about those situations, have you ever managed to stay balanced before? Or is that part still a work in progress?",0,0,0,0,0,0,0,1,0,0,0,1,0,20,21
What have you learned from when work did take over?,0,0,0,0,0,0,1,0,0,0,0,0,0,22,21
"Right. But in spite of that, you've occasionally gone in the opposite direction, and powered through. Why do you think that is? Did it feel like you didn't have a choice, or were you worried about letting other people down?",0,0,0,0,1,0,1,1,0,0,0,0,0,24,21
"Hi again. Since we were just discussing work-life balance, what's on your mind right now?",0,0,0,0,0,0,0,0,1,0,0,0,0,1,163
"Ah, so this feels familiar. Tell me more about third grade, and what you're remembering.",0,0,0,0,0,0,1,0,0,0,0,0,0,3,163
"I mean, what a shock that must have been. Where did you go from there? Did you have to retake the test?",0,1,0,0,0,0,1,0,0,0,0,1,0,5,163
"I'm hearing that cycle, and I want to pause on that. What have you already tried to break it?",0,0,0,0,0,0,1,0,0,0,0,0,0,7,163
"Right. So the fear hasn't disappeared, no matter what you do. But what about your performance? Are you still making mistakes, like you did back then?",0,0,0,0,0,0,1,0,0,0,0,0,0,9,163
So you've had a lot of success since then. That scared kid has learned a lot!,0,0,0,0,0,1,0,0,0,0,0,0,0,11,163
"She's still very much there, isn't she? And in some ways, she might actually be helping you get ready for this test, because you don't want to go through what she did.",0,0,0,1,0,0,0,0,0,0,0,0,0,13,163
What if we focused on that piece: the exhaustion?,0,0,0,0,0,0,1,0,0,0,0,0,0,15,163
"I do. And maybe that's why the breathing exercises and affirmations haven't worked, even though you've been practicing them. In a way, you're trying to fix this problem with more hard work. Which is sort of the opposite of rest!",0,0,0,1,1,0,0,0,0,0,0,0,0,17,163
What is it about letting go of control that feels uncomfortable?,0,1,0,0,0,0,0,0,1,0,0,0,0,19,163
"Right, because if you stop working, there's some part of you that thinks you'll fall short. But on a deeper level, what would happen if you did? What's so terrifying about the idea of failing here?",0,0,0,1,1,0,1,1,0,0,0,0,0,21,163
Let's try something a little different. Imagine you did fail this test. How would you want to respond?,0,0,0,0,0,0,0,1,0,0,0,0,0,23,163
"You've been focusing a lot on avoiding failure, and I totally get why. But if you could accept it, at least in theory, then you might not have to fight so hard, or worry so much. Do you think you'd be willing to give that a try? You could even just do it for a second, and see how it feels.",0,0,0,1,1,0,0,1,0,0,0,1,0,25,163
"Hi Miss Clark, I've been thinking about the stress you shared last time. How are things feeling today?",0,0,0,0,0,0,0,0,1,0,0,0,0,1,204
"Right, you've got a ton on your plate! Would you say you're drinking more than you usually would, then? Or is this a long-term pattern?",0,0,0,0,0,0,1,0,0,0,0,1,0,3,204
"On some level, it works, right? It helps you escape, and you get a break from the stress. But on the other hand, you've been thinking that you want to cut back. What's motivating you there?",0,0,0,1,1,0,0,1,0,0,0,0,0,5,204
"Got it. So if you could find another way to do that, what do you think would change? Would you start to feel better, or more in control?",0,0,0,0,0,0,0,1,1,0,0,0,0,7,204
What would you say feels big about it?,0,0,0,0,0,0,1,0,1,0,0,0,0,9,204
"So it's become pretty central to how you unwind. When you don't have it, or you try to cut back, do you get anxious? Or is it more that you're worried about what might happen if you were to quit?",0,0,0,0,1,0,1,0,1,0,0,0,0,11,204
"Let's picture a bad day. What happens, and what's the hardest part?",0,0,0,0,0,0,1,0,0,0,0,0,0,13,204
"And then once you've had that moment, do you just crash? Or do the tasks and responsibilities keep coming?",0,0,0,1,0,0,1,0,0,0,0,0,0,15,204
"So the wine helps, but only temporarily. And then the tasks and responsibilities are still there.",0,0,0,1,0,0,0,0,0,0,0,0,0,17,204
"I hear you. And just to clarify, when you say 'back where you started' – how much do you actually get done, when you're drinking? Does it get in the way at all?",0,0,0,0,0,0,1,0,0,0,0,1,0,19,204
What do you worry that they might be picking up on?,0,0,0,0,0,0,0,1,0,0,0,0,0,21,204
"So you're really motivated to be a positive influence in their lives, and to set a good example. Would you say that's your main reason for wanting to change? Or is it more about feeling different in yourself? You mentioned wanting to feel healthier, too.",0,0,1,0,0,0,0,1,0,0,0,0,0,23,204
What did you want to cover today?,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27
"Okay, interesting! How is it affecting your current relationships?",0,0,0,1,0,0,1,0,0,0,0,0,0,3,27
"And how does she act, exactly? I'm guessing she's not literally walking out on you, but maybe she has in the past?",0,0,0,0,0,0,1,0,0,0,0,0,0,5,27
"So as a child, you'd be on your toes, trying to figure out what mood people were in.",0,1,0,1,0,0,0,0,0,0,0,0,0,7,27
"Well, that totally makes sense! You've learned to be vigilant, because that kept you safe as a kid. But are you thinking that it's less useful at this stage in your life?",0,0,0,0,1,1,0,1,0,0,0,1,0,9,27
"I want to get a sense of how this pattern plays out in your relationship. When you say that you expect your partner to let you down, what does that look like?",0,0,0,0,0,0,1,0,0,0,0,0,0,11,27
"Ah, got it. And when you're in that headspace, do you behave differently? Are you extra careful about what you do and say?",0,0,0,0,0,0,1,0,0,0,0,0,0,13,27
"What do you think your partner would say about it, if she were here?",0,0,0,0,0,0,0,1,0,0,0,0,0,15,27
"Yikes. So not only are you getting tired of this pattern, but she is, too! Has it ever caused a conflict between you? Or has it mostly just been a source of stress?",0,0,0,0,0,0,0,0,0,0,0,0,0,17,27
"You've got this defensive instinct, and I wonder what would happen if you tried to soften it. What does it look like to trust her?",0,0,0,0,1,0,0,1,0,0,0,0,0,19,27
"Well, you mentioned that she hasn't been volatile up to this point. She's had some ups and downs, but nothing like what you experienced with your mom. Would you say that's right?",0,0,0,0,0,0,1,1,0,0,0,0,0,21,27
"Past experiences have programmed you to expect volatility. But in the present, you're describing a person who's stable, and reliable. I'm wondering what it might be like to really notice those qualities.",0,0,0,0,1,0,0,1,0,0,0,0,0,23,27
"Right, because it's not just a voice. It's a whole set of beliefs and behaviors that you learned over the course of many years, and for a while, they really helped you. But if they're not helping anymore, we could try to challenge them, and see if you can think about this relationship in a different way. Does that sound worth doing?",0,0,0,0,0,1,0,1,0,1,0,0,1,25,27
"One thing that might be worth trying is to start to notice this voice, and to label it as such. We can give it a name, or a shape. We can recognize it as a story, rooted in the past, or as a habit. And then we can play with letting it be there without believing it. What would you say to that?",0,0,0,0,0,0,0,1,0,1,0,0,0,27,27
"I remember you felt that way when we talked about public speaking, as well. What are you scared might happen if you fail?",0,0,0,0,0,0,0,1,0,0,0,0,0,2,19
"Your doubts have been pretty loud, haven't they? I mean, you were saying yesterday that you didn't feel cut out for your current job, even though it's a pretty good match for your skills. What sorts of things have you been telling yourself about school?",0,0,0,0,1,1,1,0,0,0,0,0,0,4,19
"So if I'm following, you're feeling behind, and trying your hardest isn't enough.",0,1,0,0,1,0,0,0,0,0,0,0,0,6,19
"In that case, let's dig in a bit. Why do you feel this way? Are you actually doing worse than your peers in class?",0,0,0,0,0,0,1,1,0,0,0,0,0,8,19
"So you're looking around, and you're comparing yourself.",0,0,0,0,0,0,0,0,0,0,0,0,0,10,19
"I bet it is! What if you tried to focus on yourself, though, just for a minute? You've said that your grades are okay, but how hard are you working to keep them that way?",0,0,0,0,0,0,1,1,0,0,0,0,0,12,19
How much more?,0,0,0,0,0,0,1,0,0,0,0,0,0,14,19
"I mean, I know you're afraid of falling behind. But if you're already getting good grades, would pushing yourself harder really be worth it? What would you be trying to achieve?",0,1,0,0,0,0,0,1,0,0,0,0,0,16,19
"So you've got this mental model of how much effort it should take to do well. And even when you do well, you tell yourself you should be working harder, doing more.",0,0,1,0,1,0,0,0,0,0,0,0,0,18,19
"And when you say 'constantly,' is that how it feels? Like there's never any downtime?",0,0,0,0,0,0,1,0,1,0,0,0,0,20,19
"So you're having some success, but you can't enjoy it or feel enough because you feel like you should be pushing harder. Let's turn that around for a second. Imagine you were to relax, and let go of the need to prove yourself. What would change?",0,1,0,0,1,0,0,1,0,0,0,0,0,22,19
"Would it help if we tried? I know you don't want to lose ground, but at the same time, you've been awfully hard on yourself. If you were a little easier, how do you think you'd react? Would it be a relief? Or would you just end up feeling more anxious?",0,1,0,0,1,0,0,1,0,0,0,0,0,24,19
"Right, because part of you feels like pushing is the only way to succeed. That anxiety is really serving a purpose.",0,1,0,0,1,0,0,0,0,0,0,0,0,26,19
"Well, how much is it helping? I know that fear can be a pretty powerful motivator, but you've got to balance it against the costs. If you had to pick, would you say it's doing more good than harm? Or the other way around?",0,0,0,1,1,0,0,1,0,0,0,0,0,28,19
"Running on fumes. Tell me more about what that's been like, to be in this constant state of tension.",0,0,0,0,0,0,1,0,0,0,0,0,0,30,19
"Right, and you're only human! As hard as you've been working, you can't keep this up forever. Could you see yourself taking a step back, just to see what happens? Maybe you'd find some new motivation, or a different way to focus.",0,0,0,0,0,0,0,1,0,0,0,1,0,32,19
"I know feeling overwhelmed is something you're trying to avoid at all costs. But I want to point out that you're already feeling that way, even with all this effort.",0,1,0,0,1,0,0,0,0,0,0,1,0,34,19
What did you want to get into today?,0,0,0,0,0,0,1,0,0,0,0,0,0,1,206
"Interesting! You've been super focused on tackling your anxiety, so it's cool to hear you thinking more long-term. What would you be looking for in a new job, ideally?",0,0,0,0,0,0,1,0,0,0,0,0,0,3,206
"Not childish at all! Tell me more about what you loved about it, making those models.",0,0,0,0,0,0,1,0,0,0,0,1,0,5,206
"When you look back on that time, do you feel like you needed an escape?",1,0,0,0,0,0,0,1,1,0,0,0,0,7,206
"It was a place where you could accomplish things, and l good about yourself.",0,1,0,0,0,0,0,0,0,0,0,0,0,9,206
"It would be, especially since you'd need to make a lot of changes. But I can see why you'd want to! As it stands, are you not feeling all that accomplished, or in control?",0,1,0,0,1,0,0,1,1,0,0,0,0,11,206
Tell me more about this rut. What feels stuck?,0,0,0,0,0,0,1,0,0,0,0,0,0,13,206
"Did you end up taking that public speaking class, by the way? I know you were looking at some options, but you were feeling pretty nervous about signing up.",0,1,0,0,0,0,1,0,0,0,0,0,0,15,206
"Well, you've got some first-hand experience of how hard it is to make changes. And yet, here you are, thinking about some pretty big ones!",0,0,0,0,1,1,0,0,0,0,0,1,0,17,206
"Totally, I'd imagine that a career change like this would require a ton of work. Have you done any research into what it might take? Or are you still in the early stages of trying to decide?",0,0,0,0,0,0,1,1,0,0,0,0,0,19,206
"Right, and the stakes feel high. You're in a tough spot, because on one hand, you're in a rut. But on the other hand, you're hesitant to spend so much time and money on a career change.",0,0,0,0,1,0,0,0,0,0,0,0,0,21,206
"But at the very same time, doesn't it seem like you've achieved a lot, especially lately? You got a new job, and a new apartment, and you've been really persistent about meeting people. Maybe that stuff doesn't feel meaningful to you, but it's still proof that you're capable of handling change.",0,0,0,0,1,1,0,0,0,0,0,1,0,23,206
"Tell me more about Mark, who is he?",0,0,0,0,0,0,1,0,0,0,0,0,0,2,18
"Oh, wow. Was this recent? I don't think you'd mentioned it, but everything must be feeling so raw.",0,1,0,0,0,0,1,0,0,0,0,0,0,4,18
"I'm so sorry, Lisa. It was so sudden, and it's only been a couple of weeks. It makes sense that everything is feeling so heavy.",0,0,0,0,0,0,0,0,0,0,0,1,0,6,18
"Well, what if you didn't have to pull yourself together, at least not right away? Mark meant so much to you. If you need time to mourn, then take it! I'm not sure that strong is the best way to be when you've just lost a brother.",1,0,0,0,0,0,0,0,0,0,0,1,0,8,18
"What a painful experience, to lose someone who was there for you in that way. I know it must be hard to imagine getting through this without him.",0,1,0,0,0,0,0,0,0,0,0,1,0,10,18
"And you're missing the support he gave you, too. If you don't mind me asking, has anyone else stepped in to help out, even a little bit? You mentioned that people have been encouraging you to stay strong, but I assume some of them must know what you're going through.",0,0,0,0,0,1,1,0,0,0,0,0,0,12,18
"You're missing your brother, and you're missing the way he made you feel - like you had someone to lean on.",1,1,0,0,0,0,0,0,0,0,0,0,0,14,18
"Well, to your point, he was your go-to. It's not something you can replace, even if you wanted to! If you did try leaning on someone else, though, who do you think you'd choose? Would it be one of your parents, or maybe one of those friends?",0,0,0,0,0,0,0,1,0,0,0,0,0,16,18
"So you could open up to her, but you don't want to overwhelm her. Is she the type of person to get overwhelmed, or is there a different reason you're holding back?",0,0,0,0,1,0,0,1,0,0,0,0,0,18,18
"That makes sense. I mean, you were just saying that you haven't let yourself fall apart. What would it mean if you did?",0,0,0,0,0,0,0,1,0,0,0,1,0,20,18
"At the same time, you're carrying a lot. It makes sense that it would be scary to think about letting it all go, but I wonder if there's a way to share some of this pain, without losing yourself in it completely.",0,0,0,0,1,0,0,0,0,1,0,1,0,22,18
"You definitely don't. And you're right, that would be a pretty big step. If you took it, what would you want Rachel to know? Would it just be about Mark, and how much you miss him, or would you also talk about how it's been to grieve without him?",0,0,0,0,0,0,1,0,0,0,0,0,0,24,18
It's a big step. Let's stay with the scary part for a moment. What's the fear telling you?,0,0,0,0,0,0,0,1,0,0,0,0,0,26,18
"Well, it is, and it isn't. People have different capacities for support, and if Rachel has been reaching out, that's a good sign. Do you think she'd be able to handle a conversation like this?",0,0,0,0,0,0,0,1,0,0,0,1,0,28,18
"That all sounds smart, and really specific! How soon could you get started, do you think? Would it be doable to take stock of your wins tonight, for example?",0,0,0,0,0,0,0,0,0,0,1,0,0,30,18
"If she agreed, would you do that in person? Or over the phone?",0,0,0,0,0,0,1,0,0,0,0,0,0,32,18
I love how thoughtful you are being about this. And you said you'll reach out soon - when do you think that might be?,0,0,0,0,0,1,1,0,0,0,0,0,0,34,18
"Right, especially since you've been dealing with so much on your own. For what it's worth, I really hope that Rachel can help. But either way, I'm glad you're taking this step.",0,0,0,0,0,0,0,0,0,0,0,1,0,36,18
"Jackie, I joined today. I am doing well, how about you?",0,0,0,0,0,0,0,0,1,0,0,0,0,1,97
"Oh, any time! You've been doing quite a bit better, haven't you, since you first started making changes at work? I know you were super stressed, and now that things are more in balance, you're hoping to stay there.",1,1,0,1,0,1,0,0,0,0,0,0,0,3,97
Oh wow. When did this start happening?,0,0,0,0,0,0,1,0,0,0,0,0,0,5,97
"Well, I'm glad you came. We can do some work on this together, but I do think it would help to have a human in the mix, given that you're really in the dark about what's happening. You said you've been having nightmares, though, and that they're quite terrible. Could you say more about them?",0,0,0,0,0,0,1,0,0,0,0,0,0,7,97
My goodness. I can see why these would be so distressing. Tell me more about the feeling of being chased. What is that like?,0,0,0,0,0,0,1,0,1,0,0,1,0,9,97
"That's an awful thought. If it could be anything, what do you think it might be?",0,0,0,0,0,0,1,0,0,0,0,1,0,11,97
So it could be a few different things. And I suppose you could see it all in the theme of being chased.,0,0,0,0,0,0,0,1,0,0,0,0,0,13,97
"I know you do. But before we go any further, I want to make sure you're on the same page with your doctor. Did they say anything about what might be causing this? Or did they just run some tests, and encourage you to seek therapy?",0,0,0,0,0,0,1,0,0,0,0,0,0,15,97
I hear the urgency in that. Tell me more about your worries there - what would happen to the marriage if this continued?,0,0,0,1,0,0,1,0,0,0,0,0,0,17,97
"It makes total sense that you'd feel that way. How has he been handling this, up to now? You said he's been supportive, but in what way?",0,0,0,0,0,0,1,0,0,0,0,1,0,19,97
He's been so supportive. But I hear your worry about the burden this could place on him.,0,1,0,0,1,1,0,0,0,0,0,0,0,21,97
"Well, would you be open to focusing on that today? If these nightmares are being driven by stress, then maybe we could look for ways to reduce that, either at work or at home.",0,0,0,0,0,0,0,0,0,1,0,0,0,23,97
"So if you feel like you're losing control, what does that look like?",0,0,0,0,0,0,1,0,1,0,0,0,0,25,97
"Right, because in the moment, you're not conscious! Your body just takes over. But during the day, do you feel the same? Or is this more of a nighttime problem?",0,0,0,0,0,0,0,1,0,0,0,0,0,27,97
"So it's not just about the nightmares. It's about waiting for the next one to come, and the impact that's having on you.",0,0,0,1,0,0,0,0,0,0,0,0,0,29,97
"I can see why you'd want that. But at the same time, I'd be careful about putting too much pressure on yourself. You've already been trying really hard to manage your anxiety, and from what I can tell, it's one of the biggest reasons why you've been so successful at work. Would you agree?",0,0,0,1,1,1,0,1,0,0,0,0,0,31,97
"I want to pause on this idea that your body is betraying you. I know that we've been talking about how you can't control what's going on in your sleep, and that it's hard to accept. But I want to look at this differently. What if your body is trying very hard to tell you something?",0,0,0,0,1,0,0,1,0,0,0,0,0,33,97
"Well, earlier on, you mentioned that you had a long history of running away from problems. Could you say more about that? Has it been especially hard to face them lately?",0,0,0,0,0,0,1,0,0,0,0,0,0,35,97
"Okay, so this is different. It's something you can't run away from. What if we took a look at some of the things in your life that you have run away from?",0,0,0,0,1,0,0,1,0,0,0,0,0,37,97
"Well, I'm not sure where it will lead, to be totally honest! But if you're open to taking a closer look, I'm on board to help. Would it be okay if we started with your relationship? I know your husband has been worried about you, so I could see how it might be difficult to share what's on your mind.",0,0,0,0,1,0,0,0,0,0,0,0,0,39,97
So what have you found yourself holding back?,0,0,0,0,0,0,1,0,0,0,0,0,0,41,97
"Could you try to give me an example of what that might look like? I mean, would you just tell him what you're going through, and see how he responds? Or would you ask him for something specific?",0,0,0,0,0,0,1,1,0,0,0,0,0,43,97
What would change if you opened up to him more fully?,0,0,0,1,0,0,1,1,0,0,0,0,0,45,97
Of course! What did you have in mind?,0,0,0,0,0,0,1,0,0,0,0,0,0,1,75
You've tried a few things already. Say more about what this cycle looks like.,0,0,0,0,0,0,1,0,0,0,0,0,0,3,75
"Right, so you're anticipating that it'll go badly, and then that exact thing happens. How often has that been the case, by the way? Are you really bombing these presentations, or are they turning out better than you expect?",0,0,0,0,0,0,0,1,0,0,0,0,0,5,75
Say more about that. How do you get in your own way?,0,0,0,0,0,0,1,1,0,0,0,0,0,7,75
"Well, it might be winning, but only because you're trying really hard to escape it. When you picture yourself getting up in front of the class, what are you most afraid will happen?",0,0,0,1,1,0,0,1,0,0,0,0,0,9,75
"Ah, the judgement. And if they thought less of you, what would that say about you?",0,0,0,0,0,0,0,1,0,0,0,0,0,11,75
"Right. You'd be proving them right! But when you think about your classmates, do you actually believe that they're thinking those things? Or is that coming from you?",0,0,0,0,0,0,0,1,0,0,0,0,0,13,75
Let's try to sort that out a bit more. What evidence do you have that they might be judging you?,0,0,0,0,0,0,1,1,0,0,0,0,0,15,75
"Okay, but as far as you can tell, you haven't actually heard them say so. Now, what about yourself? You've got this story in your head that you're not good enough, but where did it come from?",0,0,0,0,0,0,0,1,0,0,0,0,0,17,75
"If you go and give a speech in class, and it doesn't go perfectly, what does that mean about you?",0,0,0,1,0,0,0,1,0,0,0,0,0,19,75
"I see. So there's a standard here that you really can't afford to compromise on. But what if you did, just a little? What if you let yourself stumble, and didn't give yourself such a hard time about it?",0,0,1,0,0,0,0,1,0,0,0,0,0,21,75
"Of course, we can switch topics. What's on your mind?",0,0,0,0,0,0,1,0,1,0,0,1,0,1,48
"That sounds scary, and also exhausting! How long has this been happening?",0,0,0,0,0,0,1,0,0,0,0,1,0,3,48
"So during the day, you're worried about your health, and then at night, you're dreaming about getting sick. Has anything actually seemed off, physically? Or are these fears mainly coming from your dreams?",0,1,0,0,1,0,1,1,0,0,0,0,0,5,48
"Oh, wow. That's a major symptom, and totally understandable that it's been freaking you out. Did you make an appointment to see a doctor?",0,0,0,0,0,0,0,0,0,0,0,1,0,7,48
Waiting for results can be so tough. Our minds go to the worst case scenarios.,0,0,0,0,0,0,0,0,0,0,0,1,0,9,48
"When you try to push them aside, what happens? Do they get louder, or stronger?",0,0,0,1,0,0,1,1,0,0,0,0,0,11,48
"Well, if your body is telling you that something is wrong, it makes sense that you'd be paying attention to that. What do you notice these thoughts saying to you?",0,0,0,0,0,0,1,0,0,0,0,1,0,13,48
"Has it gotten any harder to function, given how much energy you're expending on them? For instance, when you're working, do you find them interfering with your performance?",0,0,0,1,0,0,1,0,0,0,0,0,0,15,48
"I want to zoom in for a minute. Let's take a moment when you're really noticing these thoughts, and they're loud, and you're feeling overwhelmed. What's going on in that moment?",0,0,0,0,0,0,1,0,0,0,0,0,0,17,48
"Is this something that's happening all day, or does it come and go?",0,0,0,0,0,0,1,0,0,0,0,0,0,19,48
"This fear has really taken over your mind, and I want to make sure I understand it. At the very core, what's pushing this fear? What are you most afraid will happen?",0,0,0,0,0,0,1,0,0,0,0,0,0,21,48
"A hundred percent, it would be! But it seems like you did everything you could to address this possibility. You went to the doctor, and they'll be able to tell you whether or not there's an issue. Beyond that, how much control do you have?",0,0,0,0,0,1,0,1,0,0,0,1,0,23,48
"This is a tough situation, where you're at the mercy of the unknown. I want to return to this fear that you're seriously sick. What do you know that supports that?",0,0,0,0,0,0,0,1,0,0,0,1,0,25,48
"Right, those symptoms are no joke, and I can see why they'd be worrying. But would it be fair to say that you're assuming they're going to lead to the worst possible outcome? Like, cancer, or another terminal illness?",0,0,0,0,0,0,0,1,0,0,0,1,0,27,48
Let's zoom out a bit. How much time have you spent searching for what might be wrong?,0,0,0,0,0,0,1,1,0,0,0,0,0,29,48
"So you'd say it's become a habit, basically?",0,0,0,0,0,0,1,0,0,0,0,0,0,31,48
"So there's the impulse to look up these symptoms, and the idea that it might help you feel better, or more in control. But what actually happens when you do?",0,0,0,1,0,0,1,0,0,0,0,0,0,33,48
"I can imagine. Have you ever resisted the urge to Google stuff? Or is that close to impossible, given how anxious you've been feeling?",0,1,0,0,0,0,0,1,0,0,0,0,0,35,48
"So there's this itch, and it's incredibly hard to resist scratching it. But we've been talking about how looking things up can actually make things worse, and I wonder what you'd think about experimenting with the idea of not scratching the itch.",0,0,0,1,1,0,0,1,0,0,0,0,0,37,48
"Of course, we can shift gears. What's just come to mind?",0,0,0,0,0,0,1,0,0,0,0,1,0,1,67
"It's not unusual to feel out of it when you're dealing with health issues, and not sleeping well. But what's the impact been, socially? Has anyone noticed that you're withdrawing?",0,0,0,0,0,0,0,1,0,0,0,1,0,3,67
"I think it's a good thing that you're noticing this shift. But I wonder if we can explore it a bit more, and figure out what might be happening.",0,0,0,0,0,1,1,0,0,0,0,1,0,5,67
"Well, you've got a lot to be frustrated about, don't you? With the headaches, and the nausea, and the nightmares, and everything else. But even so, it seems like things have gotten worse, or heavier, over the past few weeks. Would you agree?",0,1,0,0,0,0,0,0,1,0,0,1,0,7,67
What is it like to not feel like yourself?,0,1,0,0,0,0,1,0,1,0,0,0,0,9,67
"I mean, you've been dealing with some pretty extreme circumstances. What with the health stuff, and the anxiety that came with it, has it been hard to stay in touch with that more energetic version of yourself?",0,0,0,0,1,0,0,1,0,0,0,1,0,11,67
"There's this fog, and it's really getting in the way. I know you're longing to feel a bit more like you. Can you tell me about the version of you that you miss?",0,0,0,0,0,0,1,1,0,0,0,0,0,13,67
"I get why you'd be frustrated! But as far as I know, that person hasn't gone anywhere. She's just been in survival mode for a little while, and it's taking a toll. Would it help if I gave you a bit more context on why that's happening? You mentioned that you might be burned out, and I think that's actually a possibility!",0,0,0,1,0,0,0,0,0,0,0,1,1,15,67
"Let's think of it this way. If you hadn't been experiencing all this work stress, do you think your health worries would be affecting you as much as they are?",0,0,0,0,0,0,0,1,0,0,0,0,0,17,67
"Right. The pressure has been coming at you from every angle, and it's been hard to escape. But for the moment, could we try focusing on work, and how that's been affecting you? It might give us a better understanding of what you need.",1,0,0,0,1,0,1,0,0,0,0,0,0,19,67
What's it been like to see this part of you that was so ambitious and proud start to fade?,0,0,0,0,0,0,0,1,1,0,0,0,0,21,67
"So it feels like you've been falling short, which really isn't a pleasant feeling. On the other hand, though, you've also been working super hard! Given that, could we try tweaking your perspective, just a bit? I know it might be a leap, but what if you looked at this period as a temporary dip, instead of a failure?",0,1,0,0,1,1,0,1,0,0,0,0,0,23,67
"I think that question is really central. If we were to brainstorm, what would you imagine?",0,0,0,0,0,0,0,1,0,0,0,0,0,25,67
